,Contract ID,Bid Rank,Vendor ID,PercentOfEstimates,ParticipantsCount,Unnamed: 8
1,C11328,1,090A,1.093028,4,
2,C11328,2,822B,1.180067,4,
3,C11328,3,150B,1.19836,4,
4,C11328,4,854A,1.349552,4,
6,C11434,1,084A,0.951778,4,
7,C11434,2,250A,0.982445,4,
8,C11434,3,053D,0.983181,4,
9,C11434,4,797A,1.014956,4,
11,C91094,1,163E,0.960044,8,
12,C91094,2,311A,1.011187,8,
13,C91094,3,924A,1.030515,8,
14,C91094,4,884A,1.071491,8,
15,C91094,5,696A,1.072463,8,
16,C91094,6,159C,1.102747,8,
17,C91094,7,028B,1.165103,8,
18,C91094,8,032A,1.200327,8,
20,C11984,1,785A,0.963608,2,
21,C11984,2,503F,1.207795,2,
23,C11414,1,868A,1.016915,4,
24,C11414,2,1024A,1.133419,4,
25,C11414,3,697A,1.136042,4,
26,C11414,4,720A,1.173402,4,
28,C10582R,1,059B,1.077092,3,
29,C10582R,2,159C,1.191323,3,
30,C10582R,3,084A,1.199128,3,
32,C11682,1,720A,0.744125,2,
33,C11682,2,697A,0.830641,2,
35,C11410,1,972A,1.351982,4,
36,C11410,2,503F,1.3931,4,
37,C11410,3,977A,1.513778,4,
38,C11410,4,160A,1.529296,4,
40,C10458,1,090A,1.150872,3,
41,C10458,2,150B,1.333872,3,
42,C10458,3,200A,1.467192,3,
44,C11764,1,091A,0.773567,5,
45,C11764,2,059B,0.847334,5,
46,C11764,3,068A,0.865781,5,
47,C11764,4,767A,0.881395,5,
48,C11764,5,245B,0.914783,5,
50,C10746,1,973A,1.48481,3,
51,C10746,2,924A,1.523535,3,
52,C10746,3,164A,1.722671,3,
54,C11524,1,793A,1.065822,4,
55,C11524,2,279A,1.126406,4,
56,C11524,3,378A,1.28092,4,
57,C11524,4,379A,1.645399,4,
59,C12199,1,668A,1.02919,3,
60,C12199,2,163D,1.06532,3,
61,C12199,3,701A,1.396734,3,
63,C11342,1,793A,0.693415,5,
64,C11342,2,1062A,0.907444,5,
65,C11342,3,379A,1.062836,5,
66,C11342,4,059B,1.197197,5,
67,C11342,5,378A,1.459972,5,
69,C12053,1,074A,1.350266,3,
70,C12053,2,790A,1.593285,3,
71,C12053,3,164A,1.645231,3,
73,C11576,1,164A,0.98947,1,
75,C11038R,1,1017A,0.964803,3,
76,C11038R,2,059B,0.977882,3,
77,C11038R,3,547A,1.00041,3,
79,C11593R,1,692A,1.069543,2,
80,C11593R,2,159C,1.098356,2,
82,C11948,1,884A,1.113919,5,
83,C11948,2,164A,1.163265,5,
84,C11948,3,011A,1.212591,5,
85,C11948,4,392G,1.22534,5,
86,C11948,5,417A,1.250161,5,
88,C11377,1,1063A,0.943728,5,
89,C11377,2,968A,0.967204,5,
90,C11377,3,053D,0.97499,5,
91,C11377,4,435A,1.016527,5,
92,C11377,5,250A,1.062111,5,
94,C11931,1,417A,1.053773,3,
95,C11931,2,392G,1.059525,3,
96,C11931,3,160A,1.184235,3,
98,C11680,1,1025A,1.084525,4,
99,C11680,2,720A,1.134377,4,
100,C11680,3,064A,1.205866,4,
101,C11680,4,697A,1.450383,4,
103,C12272,1,163D,0.890284,1,
105,C12259,1,1052A,0.720954,2,
106,C12259,2,179A,0.914902,2,
108,C12198,1,163D,0.959057,3,
109,C12198,2,005A,0.961534,3,
110,C12198,3,159C,1.089422,3,
112,C11974R,1,159C,1.056229,1,
114,C91034,1,164A,1.069885,7,
115,C91034,2,011A,1.104836,7,
116,C91034,3,392G,1.106629,7,
117,C91034,4,099H,1.131394,7,
118,C91034,5,870A,1.13193,7,
119,C91034,6,373A,1.171236,7,
120,C91034,7,174A,1.280061,7,
122,C11708,1,084A,0.980068,4,
123,C11708,2,1063A,1.136977,4,
124,C11708,3,392G,1.178769,4,
125,C11708,4,994A,1.184856,4,
127,C12054R,1,1029A,0.924112,2,
128,C12054R,2,1068A,1.188142,2,
130,C11942,1,090A,0.93261,5,
131,C11942,2,150B,1.002529,5,
132,C11942,3,200A,1.1242,5,
133,C11942,4,822B,1.154976,5,
134,C11942,5,616A,1.244955,5,
136,C10578,1,807A,0.951872,2,
137,C10578,2,163D,1.095617,2,
139,C93194,1,164A,0.79295,6,
140,C93194,2,011A,0.808128,6,
141,C93194,3,870A,0.854492,6,
142,C93194,4,924A,0.883008,6,
143,C93194,5,703A,0.925879,6,
144,C93194,6,392G,0.947598,6,
146,C12529,1,505A,0.848183,5,
147,C12529,2,005A,0.938168,5,
148,C12529,3,160A,0.977622,5,
149,C12529,4,163D,0.981548,5,
150,C12529,5,159C,1.0208,5,
152,C10840,1,1080A,1.449449,5,
153,C10840,2,1047A,1.599405,5,
154,C10840,3,084A,1.632434,5,
155,C10840,4,159C,1.708528,5,
156,C10840,5,503F,1.910708,5,
158,C11623,1,1079A,1.094684,6,
159,C11623,2,903A,1.189283,6,
160,C11623,3,001A,1.195183,6,
161,C11623,4,093B,1.273871,6,
162,C11623,5,005A,1.491687,6,
163,C11623,6,779A,1.806719,6,
165,C12029,1,632A,1.045413,3,
166,C12029,2,360A,1.08857,3,
167,C12029,3,065A,1.232484,3,
169,C12321,1,163D,0.854613,4,
170,C12321,2,071A,0.911415,4,
171,C12321,3,159C,0.915476,4,
172,C12321,4,017A,0.9551,4,
174,C12537,1,163D,0.901297,3,
175,C12537,2,159C,0.909912,3,
176,C12537,3,017A,0.993066,3,
178,C11443,1,741A,0.872872,3,
179,C11443,2,091A,0.934845,3,
180,C11443,3,547A,1.014392,3,
182,C11956S,1,159C,1.098023,1,
184,C10676,1,139B,1.093076,2,
185,C10676,2,767A,1.32205,2,
187,C12109,1,093B,0.84553,8,
188,C12109,2,084A,0.860735,8,
189,C12109,3,1011A,0.908875,8,
190,C12109,4,065A,0.956078,8,
191,C12109,5,870A,0.956446,8,
192,C12109,6,696A,0.991968,8,
193,C12109,7,164A,0.99738,8,
194,C12109,8,865A,1.001782,8,
196,C11838,1,091A,0.909654,5,
197,C11838,2,870A,0.916738,5,
198,C11838,3,160A,0.944973,5,
199,C11838,4,059B,1.016137,5,
200,C11838,5,163A,1.078503,5,
202,C12239,1,547A,1.078784,4,
203,C12239,2,163D,1.120607,4,
204,C12239,3,091A,1.123376,4,
205,C12239,4,005A,1.342516,4,
207,C12246,1,174A,0.915174,3,
208,C12246,2,005A,1.284894,3,
209,C12246,3,091A,1.468659,3,
211,C12526,1,060C,1.08518,4,
212,C12526,2,1086A,1.161777,4,
213,C12526,3,162A,1.574154,4,
214,C12526,4,1010A,1.621576,4,
216,C11923,1,053D,0.847323,4,
217,C11923,2,084A,0.872102,4,
218,C11923,3,059B,0.939609,4,
219,C11923,4,017A,0.95047,4,
221,C11720R,1,796B,0.914847,7,
222,C11720R,2,923A,0.931071,7,
223,C11720R,3,674A,0.982499,7,
224,C11720R,4,005A,1.015849,7,
225,C11720R,5,1080A,1.248525,7,
226,C11720R,6,084A,1.384702,7,
227,C11720R,7,159C,1.421052,7,
229,C12189,1,801A,0.563324,6,
230,C12189,2,360A,0.58426,6,
231,C12189,3,632A,0.807911,6,
232,C12189,4,692A,0.81767,6,
233,C12189,5,1088A,0.882731,6,
234,C12189,6,1047A,1.130277,6,
236,C92962,1,373A,0.975513,3,
237,C92962,2,801A,1.149598,3,
238,C92962,3,169A,1.193907,3,
240,C12318,1,1011A,0.950634,4,
241,C12318,2,821A,0.964867,4,
242,C12318,3,159C,0.996605,4,
243,C12318,4,785A,1.189688,4,
245,C93084,1,870A,0.941961,3,
246,C93084,2,417A,0.95372,3,
247,C93084,3,245B,1.05889,3,
249,C12224,1,279A,0.957282,2,
250,C12224,2,547A,0.977744,2,
252,C12439R,1,163D,0.905544,3,
253,C12439R,2,017A,0.924329,3,
254,C12439R,3,159C,0.982398,3,
256,C12450,1,179A,0.770899,5,
257,C12450,2,162A,0.819531,5,
258,C12450,3,1032A,0.847751,5,
259,C12450,4,595A,0.962111,5,
260,C12450,5,060B,1.238755,5,
262,C12014S,1,674A,1.027937,3,
263,C12014S,2,790A,1.115808,3,
264,C12014S,3,074A,1.316919,3,
266,C12146,1,720A,0.9563,2,
267,C12146,2,697A,0.995533,2,
269,C12597,1,793A,0.638521,4,
270,C12597,2,941A,1.094491,4,
271,C12597,3,1062A,1.210368,4,
272,C12597,4,1092A,1.398042,4,
274,C12813,1,009A,0.545541,3,
275,C12813,2,074A,0.577351,3,
276,C12813,3,790A,0.727978,3,
278,C12604,1,696A,0.943229,4,
279,C12604,2,884A,0.954644,4,
280,C12604,3,417A,1.046743,4,
281,C12604,4,159C,1.228776,4,
283,C11989,1,163D,1.411392,3,
284,C11989,2,071A,1.495298,3,
285,C11989,3,159C,1.630661,3,
287,C12501,1,160A,0.954207,5,
288,C12501,2,870A,0.990416,5,
289,C12501,3,274A,1.013464,5,
290,C12501,4,417A,1.046748,5,
291,C12501,5,955A,1.175886,5,
293,C12280,1,150B,0.890071,7,
294,C12280,2,696A,1.008365,7,
295,C12280,3,924A,1.011925,7,
296,C12280,4,854A,1.01974,7,
297,C12280,5,065A,1.132943,7,
298,C12280,6,692A,1.159883,7,
299,C12280,7,164A,1.220746,7,
301,C12571,1,790A,0.943187,1,
303,C12602,1,162A,0.79211,4,
304,C12602,2,060B,0.934913,4,
305,C12602,3,179A,0.95849,4,
306,C12602,4,1032A,1.172617,4,
308,C12658,1,150B,0.90717,6,
309,C12658,2,854A,0.952112,6,
310,C12658,3,090A,0.998775,6,
311,C12658,4,011A,1.080038,6,
312,C12658,5,200A,1.176485,6,
313,C12658,6,1073A,1.322206,6,
315,C11487,1,696A,1.067021,6,
316,C11487,2,1078A,1.142908,6,
317,C11487,3,766C,1.260317,6,
318,C11487,4,1063A,1.269492,6,
319,C11487,5,854A,1.298418,6,
320,C11487,6,065A,1.521446,6,
322,C12257,1,1086A,1.103909,3,
323,C12257,2,674A,1.151574,3,
324,C12257,3,124A,1.23538,3,
326,C12281,1,017A,0.928985,5,
327,C12281,2,924A,0.99343,5,
328,C12281,3,124A,1.024933,5,
329,C12281,4,159C,1.042248,5,
330,C12281,5,032A,1.086512,5,
332,C12844,1,595A,1.053584,3,
333,C12844,2,060B,1.15203,3,
334,C12844,3,162A,1.181037,3,
336,C12845,1,162A,0.923756,2,
337,C12845,2,060B,0.99907,2,
339,C12824,1,179A,0.694532,4,
340,C12824,2,1019A,0.696195,4,
341,C12824,3,162A,0.712053,4,
342,C12824,4,060B,0.838491,4,
344,C12839,1,982A,0.741594,7,
345,C12839,2,1010A,0.783188,7,
346,C12839,3,674A,0.893862,7,
347,C12839,4,1091A,0.92769,7,
348,C12839,5,162A,1.007817,7,
349,C12839,6,2003A,1.105369,7,
350,C12839,7,1065A,1.272997,7,
352,C12566,1,274A,0.936573,6,
353,C12566,2,1011A,0.936849,6,
354,C12566,3,674A,1.065067,6,
355,C12566,4,903A,1.083254,6,
356,C12566,5,279A,1.084642,6,
357,C12566,6,160A,1.205322,6,
359,C12599,1,505A,0.754519,5,
360,C12599,2,163D,0.804371,5,
361,C12599,3,295A,0.855725,5,
362,C12599,4,159C,1.008446,5,
363,C12599,5,005A,1.062502,5,
365,C13024,1,017A,1.001893,4,
366,C13024,2,1089A,1.025747,4,
367,C13024,3,053D,1.103483,4,
368,C13024,4,159C,1.150081,4,
370,C12718,1,169A,0.735357,12,
371,C12718,2,392G,0.760854,12,
372,C12718,3,164A,0.770693,12,
373,C12718,4,870A,0.787107,12,
374,C12718,5,250A,0.798142,12,
375,C12718,6,099H,0.805304,12,
376,C12718,7,373A,0.822041,12,
377,C12718,8,562A,0.824261,12,
378,C12718,9,417A,0.831842,12,
379,C12718,10,159C,0.845322,12,
380,C12718,11,696A,0.860555,12,
381,C12718,12,779A,1.064941,12,
383,C13072,1,1091A,0.551374,5,
384,C13072,2,162A,0.631585,5,
385,C13072,3,982A,0.635645,5,
386,C13072,4,060B,0.728305,5,
387,C13072,5,595A,0.83743,5,
389,C13065,1,2010A,1.101135,2,
390,C13065,2,124A,1.267093,2,
392,C13193,1,966A,0.703471,6,
393,C13193,2,332A,0.774611,6,
394,C13193,3,1066A,0.898979,6,
395,C13193,4,2014A,1.009689,6,
396,C13193,5,1053A,1.02645,6,
397,C13193,6,766A,1.158549,6,
399,C12694,1,2013A,1.000379,8,
400,C12694,2,283A,1.003508,8,
401,C12694,3,2011A,1.022166,8,
402,C12694,4,674A,1.033908,8,
403,C12694,5,769A,1.073119,8,
404,C12694,6,995A,1.126513,8,
405,C12694,7,1062A,1.154367,8,
406,C12694,8,793A,1.37067,8,
408,C11861,1,955A,0.983138,11,
409,C11861,2,995A,1.068976,11,
410,C11861,3,417A,1.080642,11,
411,C11861,4,870A,1.116568,11,
412,C11861,5,099H,1.151631,11,
413,C11861,6,169A,1.173306,11,
414,C11861,7,279A,1.179093,11,
415,C11861,8,801A,1.189586,11,
416,C11861,9,164A,1.318957,11,
417,C11861,10,373A,1.326685,11,
418,C11861,11,232A,1.468437,11,
420,C13185,1,005A,1.050227,5,
421,C13185,2,159C,1.085432,5,
422,C13185,3,903A,1.139677,5,
423,C13185,4,790A,1.181199,5,
424,C13185,5,1011A,1.192863,5,
426,C12271,1,870A,1.170429,3,
427,C12271,2,159C,1.249422,3,
428,C12271,3,053D,1.327575,3,
430,C11849,1,150B,0.795406,4,
431,C11849,2,090A,0.841113,4,
432,C11849,3,854A,0.853114,4,
433,C11849,4,822B,0.967729,4,
435,C12846,1,162A,0.65131,3,
436,C12846,2,1010A,1.203736,3,
437,C12846,3,060C,1.760353,3,
439,C13121,1,1059A,0.772366,3,
440,C13121,2,1091A,1.139439,3,
441,C13121,3,790A,1.847682,3,
443,C13110,1,110E,1.006026,4,
444,C13110,2,939A,1.011295,4,
445,C13110,3,547A,1.163193,4,
446,C13110,4,621A,1.192208,4,
448,C13083,1,697A,0.984829,3,
449,C13083,2,164A,1.069935,3,
450,C13083,3,908A,1.152912,3,
452,C12686,1,163D,1.06949,6,
453,C12686,2,1106A,1.114289,6,
454,C12686,3,118A,1.128911,6,
455,C12686,4,005A,1.131354,6,
456,C12686,5,159C,1.13778,6,
457,C12686,6,505A,1.146376,6,
459,C13130,1,982A,1.061501,4,
460,C13130,2,1010A,1.096822,4,
461,C13130,3,162A,1.100351,4,
462,C13130,4,060C,1.135529,4,
464,C13018R,1,159C,0.985238,2,
465,C13018R,2,674A,1.075286,2,
467,C12270,1,011A,1.060781,1,
469,C12727,1,793A,0.563068,3,
470,C12727,2,1116A,0.743539,3,
471,C12727,3,1062A,1.053816,3,
473,C13258,1,159C,0.906377,1,
475,C12851,1,870A,0.934822,14,
476,C12851,2,865A,0.93802,14,
477,C12851,3,884A,0.976055,14,
478,C12851,4,924A,0.982666,14,
479,C12851,5,417A,1.004869,14,
480,C12851,6,150B,1.039262,14,
481,C12851,7,065A,1.043573,14,
482,C12851,8,169A,1.059857,14,
483,C12851,9,011A,1.066448,14,
484,C12851,10,562A,1.08348,14,
485,C12851,11,159C,1.124996,14,
486,C12851,12,232A,1.151183,14,
487,C12851,13,632A,1.161827,14,
488,C12851,14,692A,1.172859,14,
490,C13052,1,674A,1.233813,3,
491,C13052,2,279A,1.2426,3,
492,C13052,3,1120A,1.560999,3,
494,C13106,1,547A,0.922031,5,
495,C13106,2,091A,0.962878,5,
496,C13106,3,174A,0.966717,5,
497,C13106,4,1084A,1.049074,5,
498,C13106,5,005A,1.106677,5,
500,C13349,1,159C,1.004589,4,
501,C13349,2,032A,1.058875,4,
502,C13349,3,017A,1.16114,4,
503,C13349,4,924A,1.242571,4,
505,C13152,1,982A,0.912109,4,
506,C13152,2,162A,0.965701,4,
507,C13152,3,179A,1.329306,4,
508,C13152,4,060A,1.4409,4,
510,C13473,1,1098A,0.889299,5,
511,C13473,2,697A,0.924928,5,
512,C13473,3,1095A,0.973296,5,
513,C13473,4,720A,0.978024,5,
514,C13473,5,503F,1.17736,5,
516,C13505,1,245B,0.95277,7,
517,C13505,2,547C,0.969709,7,
518,C13505,3,163D,1.089098,7,
519,C13505,4,091A,1.099874,7,
520,C13505,5,159C,1.116427,7,
521,C13505,6,005A,1.165176,7,
522,C13505,7,505A,1.212489,7,
524,C13327,1,939A,0.802124,6,
525,C13327,2,110E,0.845519,6,
526,C13327,3,547A,0.89235,6,
527,C13327,4,1084A,0.904906,6,
528,C13327,5,621A,0.970514,6,
529,C13327,6,160A,1.068132,6,
531,C13326,1,939A,0.897682,6,
532,C13326,2,547A,0.947958,6,
533,C13326,3,110E,0.954252,6,
534,C13326,4,160A,0.955434,6,
535,C13326,5,1084A,1.055887,6,
536,C13326,6,621A,1.251211,6,
538,C13518,1,032A,0.857602,5,
539,C13518,2,1011A,0.940201,5,
540,C13518,3,159C,0.974792,5,
541,C13518,4,503F,1.00397,5,
542,C13518,5,163D,1.104224,5,
544,C13242,1,1025A,0.993399,3,
545,C13242,2,720A,1.040181,3,
546,C13242,3,697A,1.051558,3,
548,C13109,1,163D,0.915372,7,
549,C13109,2,257A,0.931848,7,
550,C13109,3,005A,0.966144,7,
551,C13109,4,505A,0.980038,7,
552,C13109,5,091A,1.047709,7,
553,C13109,6,071A,1.09196,7,
554,C13109,7,159C,1.161088,7,
556,C13441,1,159C,1.092707,9,
557,C13441,2,701A,1.112425,9,
558,C13441,3,668A,1.144868,9,
559,C13441,4,163C,1.166216,9,
561,C13441,2,159C,1.092707,9,
562,C13441,3,701A,1.112425,9,
563,C13441,4,668A,1.144868,9,
564,C13441,5,163C,1.166216,9,
566,C13516,1,868A,0.866209,5,
567,C13516,2,1095A,1.147103,5,
568,C13516,1,868A,0.866209,5,
570,C13516,3,1095A,1.147103,5,
572,MM1006,1,908A,1.199697,7,
573,MM1006,2,1010A,1.223044,7,
574,MM1006,3,1098A,1.250938,7,
575,MM1006,4,997A,1.258205,7,
576,MM1006,5,720A,1.281176,7,
577,MM1006,6,162A,1.328686,7,
578,MM1006,7,697A,1.376486,7,
580,MM2004,1,668A,0.990676,4,
581,MM2004,2,163C,1.01631,4,
582,MM2004,3,005A,1.029917,4,
583,MM2004,4,159C,1.042112,4,
585,C13552,1,150B,0.951815,3,
586,C13552,2,090A,0.968107,3,
587,C13552,3,854A,1.117136,3,
589,C13572,1,060A,0.879274,2,
590,C13572,2,162A,1.406329,2,
592,C13155,1,162A,0.968778,2,
593,C13155,2,060A,0.970232,2,
595,C13438,1,163D,0.795142,5,
596,C13438,2,160A,0.820977,5,
597,C13438,3,505A,0.844487,5,
598,C13438,4,005A,0.890236,5,
599,C13438,5,159C,1.136712,5,
601,MM1007,1,096A,1.2904,2,
602,MM1007,2,017A,1.337624,2,
604,C13448,1,295A,1.12277,4,
605,C13448,2,160A,1.141859,4,
606,C13448,3,163D,1.180045,4,
607,C13448,4,005A,1.222814,4,
609,C12507,1,169A,0.928433,8,
610,C12507,2,373A,0.984264,8,
611,C12507,3,696A,1.019072,8,
612,C12507,4,692A,1.021376,8,
613,C12507,5,865A,1.056569,8,
614,C12507,6,997A,1.132478,8,
615,C12507,7,065A,1.15256,8,
616,C12507,8,232A,1.224077,8,
618,C13537,1,245B,1.017828,5,
619,C13537,2,160A,1.066767,5,
620,C13537,3,279A,1.08676,5,
621,C13537,4,163D,1.12403,5,
622,C13537,5,159C,1.140789,5,
624,C13592,1,1010A,0.882066,2,
625,C13592,2,997A,0.938861,2,
627,C13485,1,091A,0.85506,5,
628,C13485,2,547A,0.981188,5,
629,C13485,3,790A,1.016753,5,
630,C13485,4,053D,1.040658,5,
631,C13485,5,741A,1.147936,5,
633,C12391,1,169A,1.014133,5,
634,C12391,2,790A,1.016262,5,
635,C12391,3,955A,1.040892,5,
636,C12391,4,159C,1.091468,5,
637,C12391,5,164A,1.091483,5,
639,C12523,1,169A,0.849787,5,
640,C12523,2,164A,0.938081,5,
641,C12523,3,392G,0.988212,5,
642,C12523,4,870A,1.032541,5,
643,C12523,5,562A,1.046363,5,
645,C13294,1,924A,0.895255,5,
646,C13294,2,065A,0.926616,5,
647,C13294,3,090A,0.979302,5,
648,C13294,4,150B,1.005049,5,
649,C13294,5,854A,1.043028,5,
651,C13736,1,1202A,0.984766,5,
652,C13736,2,164A,1.331026,5,
653,C13736,3,232A,1.415937,5,
654,C13736,4,159C,1.443598,5,
655,C13736,5,692A,1.465346,5,
657,C13275,1,924A,0.932641,6,
658,C13275,2,150B,0.967295,6,
659,C13275,3,065A,0.994827,6,
660,C13275,4,692A,1.036507,6,
661,C13275,5,090A,1.130311,6,
662,C13275,6,854A,1.158754,6,
664,C13539,1,053D,1.090613,5,
665,C13539,2,790A,1.118496,5,
666,C13539,3,903A,1.153231,5,
667,C13539,4,279A,1.159678,5,
668,C13539,5,968A,1.233232,5,
670,C12793R,1,807A,1.005236,1,
672,MM1002,1,1200A,1.152173,3,
673,MM1002,2,064A,1.367631,3,
674,MM1002,3,697A,1.467483,3,
676,C13786,1,982A,1.061123,3,
677,C13786,2,595A,1.538534,3,
678,C13786,3,060A,1.744405,3,
680,MM3001,1,908A,1.047376,4,
681,MM3001,2,720A,1.15964,4,
682,MM3001,3,064A,1.195947,4,
683,MM3001,4,697A,1.345157,4,
685,MM4013,1,026A,0.600201,6,
686,MM4013,2,1216A,0.822386,6,
687,MM4013,3,903A,1.115282,6,
688,MM4013,4,232A,1.169437,6,
689,MM4013,5,1068A,1.64437,6,
